ztf_name,Appears in bot,Sent for followup,Classification
ZTF23abceaws,26/09/2023,Yes,Nova
ZTF23abcledv,21/09/2023,Yes,
ZTF23abdhvou,25/09/2023,Yes,Ia
ZTF23abedduu,22/09/2023,Yes,
ZTF23abevyuq,27/09/2023,Yes,
ZTF23abfxhnx,22/09/2023,Yes,
ZTF23abecphw,24/09/2023,Yes,II
ZTF23abeqble,21/09/2023,Yes,CV
ZTF23abhtkba,05/10/2023,Yes,Ibn
ZTF23abeudve,29/09/2023,Yes,Ia
ZTF23abggbdy,29/09/2023,Yes,Ia
ZTF23abhafym,09/10/2023,Yes,Ia
ZTF23abgspys,09/10/2023,Yes,Ia
ZTF23abglsmj,05/10/2023,Yes,Ia
ZTF23abghfyg,06/10/2023,Yes,Ia
ZTF23abhvrfk,12/10/2023,Yes,
ZTF23abhafym,15/10/2023,Yes,Ia
ZTF23abhwksn,15/10/2023,Yes,
ZTF23abhailb,15/10/2023,Yes,II
ZTF23abgfwhj,06/10/2023,Yes,Ia
ZTF23abgspvs,13/10/2023,Yes,Ia
ZTF23abhtkba,05/10/2023,Yes,Ibn
ZTF23abgnfdv,09/10/2023,Yes,Ia
ZTF23abhzwll,09/10/2023,Yes,Ia
ZTF23abhublj,09/10/2023,Yes,Ia
ZTF23abhafym,06/10/2023,Yes,Ia
ZTF23abhwksn,16/10/2023,Yes,
ZTF23abixviw,13/10/2023,Yes,
ZTF23abhailb,09/10/2023,Yes,II
ZTF23abihzbq,15/10/2023,Yes,Ia
ZTF23abhvsbo,18/10/2023,Yes,Ia
ZTF23abiljba,15/10/2023,Yes,Ia
ZTF23abhzlbh,15/10/2023,Yes,Ia
ZTF23abhzwhl,15/10/2023,Yes,Ia
ZTF23abixwfv,18/10/2023,Yes,II
ZTF23abidsaw,15/10/2023,Yes,Ia
ZTF23abhvqfn,18/10/2023,Yes,
ZTF23abhzoyw,15/10/2023,Yes,Ia
ZTF23abkavcl,19/10/2023,Yes,Ia
ZTF23abjzkqu,19/10/2023,Yes,Ia
ZTF23abkgdei,19/10/2023,Yes,Ia peculiar
ZTF23abidmwl,19/10/2023,Yes,other
ZTF23abkmkrl,22/10/2023,Yes,
ZTF23abjtozz,22/10/2023,Yes,Ia
ZTF23abjhbcr,18/10/2023,Yes,SLSN
ZTF24aaejkyp,24/2/2024,TNS,IIb
