Appears in bot	ztf_names	Classification	Time sent for follow-up
24/09/2023	ZTF23abecphw	other	2460212.5
25/09/2023	ZTF23abdhvou	Ia	2460213.5
26/09/2023	ZTF23abceaws	other	2460214.5
29/09/2023	ZTF23abeudve	Ia	2460217.5
29/09/2023	ZTF23abggbdy	Ia	2460217.5
05/10/2023	ZTF23abhtkba	other	2460223.5
05/10/2023	ZTF23abglsmj	Ia	2460223.5
06/10/2023	ZTF23abghfyg	Ia	2460224.5
06/10/2023	ZTF23abgfwhj	Ia	2460224.5
06/10/2023	ZTF23abhafym	Ia	2460224.5
09/10/2023	ZTF23abgspys	Ia	2460227.5
09/10/2023	ZTF23abhublj	Ia	2460227.5
09/10/2023	ZTF23abgnfdv	Ia	2460227.5
09/10/2023	ZTF23abhzwll	Ia	2460227.5
09/10/2023	ZTF23abhailb	other	2460227.5
13/10/2023	ZTF23abgspvs	Ia	2460231.5
15/10/2023	ZTF23abihzbq	Ia	2460233.5
15/10/2023	ZTF23abidsaw	Ia	2460233.5
15/10/2023	ZTF23abhzlbh	Ia	2460233.5
15/10/2023	ZTF23abhzoyw	Ia	2460233.5
15/10/2023	ZTF23abiljba	Ia	2460233.5
15/10/2023	ZTF23abhzwhl	Ia	2460233.5
18/10/2023	ZTF23abhvsbo	Ia	2460236.5
18/10/2023	ZTF23abixwfv	other	2460236.5
18/10/2023	ZTF23abjhbcr	other	2460236.5
19/10/2023	ZTF23abkavcl	Ia	2460237.5
19/10/2023	ZTF23abjzkqu	Ia	2460237.5
19/10/2023	ZTF23abkgdei	Ia	2460237.5
22/10/2023	ZTF23abjtozz	Ia	2460240.5
24/02/2024	ZTF24aaejkyp	other	2460365.5
29/02/2024	ZTF24aaegskb	Ia	2460370.5
04/04/2024	ZTF24aahgtjt	Ia	2460405.5
05/04/2024	ZTF24aahgqwk	other	2460406.5
09/04/2024	ZTF24aahznij	Ia	2460410.5
09/04/2024	ZTF24aahuulq	Ia	2460410.5
10/04/2024	ZTF24aaiftcp	Ia	2460411.5
10/04/2024	ZTF24aaiehwu	Ia	2460411.5
12/04/2024	ZTF24aaindpx	Ia	2460413.5
13/04/2024	ZTF24aaiypmp	Ia	2460414.5
14/04/2024	ZTF24aahtdhb	other	2460415.5
17/04/2024	ZTF24aaieino	Ia	2460418.5
18/04/2024	ZTF24aaiigrt	Ia	2460421.5
18/04/2024	ZTF24aaiafkl	other	2460419.5
21/04/2024	ZTF24aaikjjk	other	2460422.5
23/04/2024	ZTF24aajqamj	other	2460424.5
03/05/2024	ZTF24aajwajo	other	2460434.5
03/05/2024	ZTF24aajqwsm	Ia	2460434.5
03/05/2024	ZTF24aakwvbi	Ia	2460434.5
04/05/2024	ZTF24aakfchb	other	2460435.5
05/05/2024	ZTF24aakymro	Ia	2460436.5
05/05/2024	ZTF24aajvldc	Ia	2460436.5
07/05/2024	ZTF24aalhjeu	other	2460438.5
07/05/2024	ZTF24aalhjml	Ia	2460438.5
07/05/2024	ZTF24aalsuwb	Ia	2460438.5
07/05/2024	ZTF24aalcflg	Ia	2460438.5
07/05/2024	ZTF24aalpgky	other	2460438.5
08/05/2024	ZTF24aakyqxt	Ia	2460439.5
08/05/2024	ZTF24aalbzkr	Ia	2460439.5
10/05/2024	ZTF24aalbkdo	Ia	2460441.5
14/05/2024	ZTF24aamtsgz	Ia	2460445.5
15/05/2024	ZTF24aamdfll	Ia	2460446.5
21/05/2024	ZTF24aaomuhe	Ia	2460452.5
01/06/2024	ZTF24aaoxbth	Ia	2460463.5
22/06/2024	ZTF24aarfccy	Ia	2460484.5
22/06/2024	ZTF24aarqrkn	Ia	2460484.5
24/06/2024	ZTF24aasfxgh	Ia	2460486.5
27/06/2024	ZTF24aaqutdf	other	2460489.5
27/06/2024	ZTF24aarwwnc	other	2460485.5
28/06/2024	ZTF24aasmghi	Ia	2460490.5
29/06/2024	ZTF24aasqcng	other	2460491.5
03/07/2024	ZTF24aatkrrw	other	2460495.5
06/07/2024	ZTF24aatfxrw	Ia	2460498.5
08/07/2024	ZTF24aatqolq	other	2460500.5
09/07/2024	ZTF24aatccmo	Ia	2460501.5
11/07/2024	ZTF24aatyini	Ia	2460503.5
19/07/2024	ZTF24aavttjp	other	2460511.5
19/07/2024	ZTF24aaudlat	Ia	2460511.5
20/07/2024	ZTF24aavovrp	Ia	2460512.5
22/07/2024	ZTF24aavzglr	Ia	2460514.5
24/07/2024	ZTF24aawjctx	Ia	2460516.5
24/07/2024	ZTF24aavapoe	Ia	2460516.5
29/07/2024	ZTF24aawrofs	Ia	2460521.5
31/07/2024	ZTF24aaxmalj	Ia	2460523.5
04/08/2024	ZTF24aaxmpyh	other	2460527.5
05/08/2024	ZTF24aawxqj	Ia	2460528.5
06/08/2024	ZTF24aawzlfb	other	2460529.5
07/08/2024	ZTF24aaxmpne	Ia	2460530.5
08/08/2024	ZTF24aaxqnbe	other	2460531.5
08/08/2024	ZTF24aaygegk	Ia	2460531.5
11/08/2024	ZTF24aaymouy	Ia	2460534.5
12/08/2024	ZTF24aaxzjdt	Ia	2460535.5
12/08/2024	ZTF24abakgyn	Ia	2460535.5
12/08/2024	ZTF24aayyqub	Ia	2460535.5
13/08/2024	ZTF24aazkvzi	Ia	2460536.5
