ztf_names type
ZTF23abceaws Nova
ZTF23abeqble CV
ZTF23abhtkba Ibn
ZTF23abhailb II
ZTF23abhtkba Ibn
ZTF23abhailb II
ZTF23abixwfv II
ZTF23abkgdei Ia-pec
ZTF23abidmwl II?
ZTF23abjhbcr SLSN
ZTF24aaejkyp IIb
ZTF24aahgqwk II
ZTF24aahtdhb II
ZTF24aaibdjb II?
ZTF24aaiafkl microlensing
ZTF24aaikjjk star
ZTF24aajqamj IcBL
ZTF24aakfchb II
ZTF24aamoeod featureless
ZTF24aaomuhe Ia-pec
ZTF24aarwwnc featureless
ZTF24aaqutdf star
ZTF24aasqcng II
ZTF24aatfxrw Ia-91T-like
ZTF24aatqolq featureless
ZTF24aavovrp Ia-91T-like
ZTF24aawrofs Iax
ZTF24aaxmpyh Ia-pec
ZTF24aawzlfb microlensing
ZTF24aaxqnbe II
ZTF24aayeatn Ia91T
ZTF24abhcptk AGN
