id,type,prob_Ia
1410423021615010022,Mira,0.752
1363240754115015004,Star,0.43
1412401144515010013,RRLyr,0.738
1546412091715015004,RRLyr,0.73
1343342153315015010,EB*,0.323
1518446800515015003,Ia,0.806
1395495843115015015,QSO,0.717
1342297676015015002,EB*WUMa,0.6
1547236993515015001,LPV*,0.19
1343423713215015006,RRLyr,0.813
1149301095515015024,Ia,0.785
1295173914915010001,DwarfNova,0.311
1528510625615015014,RRLyr,0.39
1399479533215010006,Ia,0.285
1364284174315015009,RRLyr,0.235
1549236595515010014,Be*,0.259
1521419993215010008,EB*,0.72
1357352634615015021,EB*,0.569
1536308573515015007,QSO,0.39
1301455303515015028,EB*,0.533
1295429862915015001,RRLyr,0.713
1355390061715010000,AGN,0.384
1404176423815010022,RRLyr,0.273
1286206560215010001,Ia,0.108
1294479101415015010,RRLyr,0.64
1294367012015015012,RRLyr,0.743
1425481421115015019,EB*,0.466
1398122843615015016,Star,0.759
1527245853915010000,QSO,0.49
1282246056315010017,Star,0.703
1525144544515015022,V*,0.876
1306367971315015003,Star,0.598
1399198621215010002,RRLyr,0.683
1284196501015015004,BLLac,0.186
1354491756115010004,LPV*,0.232
1399410792315010015,RRLyr,0.64
1422383326215010018,RRLyr,0.88
1290235653315010009,EB*,0.717
1375202910015010023,Star,0.751
1343299370815015005,Em*,0.412
1363289001915010000,EB*,0.735
1342296715815010005,RRLyr,0.25
1383114560915010025,RotV*,0.364
1361221416215015009,RRLyr,0.348
1413155504015015000,LPV*,0.206
1421091675515015014,EB*,0.608
1294452522315010002,RRLyr,0.291
1305471536015015005,C*,0.792
1526426663115015011,QSO,0.237
1302351686015015012,RRLyr,0.323
1422370605215015045,TTau*,0.813
1399425481315010016,EB*,0.715
1279331795215010001,RRLyr,0.468
1399486362215010002,RRLyr,0.757
1415363841515015012,EB*,0.334
1364362886115010036,V*,0.785
1291233405715010001,QSO,0.648
1383150505115010005,RRLyr,0.503
1538336850615010008,RRLyr,0.317
1362345156215015002,RRLyr,0.504
1339212661315015013,AGN,0.303
1356505554015010004,Orion_V*,0.646
1527316481115015028,QSO,0.738
1539182345615015009,Ia,0.678
1358413143215010002,LPV*,0.213
1389452535815010017,Orion_V*,0.245
1278241216215010009,V*,0.675
1343430831615015005,LPV*,0.52
1389517583315015001,QSO,0.571
1405499766215010003,EB*,0.272
1355315600715010016,RRLyr,0.856
1419509524915025007,RRLyr,0.738
1522440003015010001,RRLyr,0.335
1356519425615010001,EB*,0.739
1386142913915015006,Mira,0.142
1149519185815015007,Ia,0.784
1385182436115015017,BLLac,0.194
1543304742915010003,RRLyr,0.399
1427541036315015002,RRLyr,0.373
1411162785715015008,RRLyr,0.743
1429167265115015003,Ia,0.86
1371329156015015004,Star,0.172
1388401484515015047,LPV*,0.236
1292368471515010081,Mira,0.125
1382239200915010039,RRLyr,0.794
1355428225915015019,EB*,0.249
1521418125115015004,AGB*,0.538
1387441583915010041,YSO,0.776
1307471951215010057,EB*,0.594
1295175830115010005,QSO,0.723
1362520974615010003,LPV*,0.484
1417265553615010023,QSO,0.669
1522504995115015007,RRLyr,0.381
1357413274915015000,EB*,0.886
1293317562915010064,Star,0.784
1301443353915015008,EB*,0.744
1359394894415015034,EB*,0.815
1297353025115010012,LPV*,0.367
1428550840015010019,RRLyr,0.328
1410121782015010021,Star,0.762
1295298484815015014,RRLyr,0.73
1362322673915010026,YSO,0.815
1397157195315010013,Star,0.267
1415171006115010001,QSO,0.723
1339367374415010002,EB*,0.709
1300490163915010002,Star,0.79
1527207831915015007,EB*,0.794
1539298663615010003,QSO,0.433
1305453115215010002,RRLyr,0.633
1410290554515015006,C*,0.326
1292348945315015000,RRLyr,0.391
1355337650215010007,EB*,0.625
1305361730015010026,C*,0.651
1284289652515015005,Mira,0.254
1428475321715015001,AGN,0.742
1404158226015015005,LPV*,0.166
1364272731315015019,Star,0.301
