id,type,prob_Ia
1410423021615010022,Mira,0.432
1363240754115015004,Star,0.39
1412401144515010013,RRLyr,0.379
1546412091715015004,RRLyr,0.386
1343342153315015010,EB*,0.169
1518446800515015003,Ia,0.6
1395495843115015015,QSO,0.57
1342297676015015002,EB*WUMa,0.256
1547236993515015001,LPV*,0.232
1343423713215015006,RRLyr,0.684
1149301095515015024,Ia,0.804
1295173914915010001,DwarfNova,0.357
1528510625615015014,RRLyr,0.26
1399479533215010006,Ia,0.344
1364284174315015009,RRLyr,0.318
1549236595515010014,Be*,0.272
1521419993215010008,EB*,0.594
1357352634615015021,EB*,0.19
1536308573515015007,QSO,0.587
1301455303515015028,EB*,0.669
1295429862915015001,RRLyr,0.713
1355390061715010000,AGN,0.605
1404176423815010022,RRLyr,0.266
1286206560215010001,Ia,0.263
1294479101415015010,RRLyr,0.434
1294367012015015012,RRLyr,0.347
1425481421115015019,EB*,0.216
1398122843615015016,Star,0.292
1527245853915010000,QSO,0.583
1282246056315010017,Star,0.297
1525144544515015022,V*,0.411
1306367971315015003,Star,0.496
1399198621215010002,RRLyr,0.252
1284196501015015004,BLLac,0.456
1354491756115010004,LPV*,0.304
1399410792315010015,RRLyr,0.322
1422383326215010018,RRLyr,0.531
1290235653315010009,EB*,0.241
1375202910015010023,Star,0.644
1343299370815015005,Em*,0.677
1363289001915010000,EB*,0.715
1342296715815010005,RRLyr,0.252
1383114560915010025,RotV*,0.205
1361221416215015009,RRLyr,0.213
1413155504015015000,LPV*,0.28
1421091675515015014,EB*,0.305
1294452522315010002,RRLyr,0.291
1305471536015015005,C*,0.547
1526426663115015011,QSO,0.421
1302351686015015012,RRLyr,0.391
1422370605215015045,TTau*,0.526
1399425481315010016,EB*,0.528
1279331795215010001,RRLyr,0.606
1399486362215010002,RRLyr,0.309
1415363841515015012,EB*,0.32
1364362886115010036,V*,0.548
1291233405715010001,QSO,0.515
1383150505115010005,RRLyr,0.391
1538336850615010008,RRLyr,0.286
1362345156215015002,RRLyr,0.678
1339212661315015013,AGN,0.524
1356505554015010004,Orion_V*,0.255
1527316481115015028,QSO,0.484
1539182345615015009,Ia,0.473
1358413143215010002,LPV*,0.347
1389452535815010017,Orion_V*,0.271
1278241216215010009,V*,0.467
1343430831615015005,LPV*,0.243
1389517583315015001,QSO,0.453
1405499766215010003,EB*,0.163
1355315600715010016,RRLyr,0.736
1419509524915025007,RRLyr,0.351
1522440003015010001,RRLyr,0.167
1356519425615010001,EB*,0.311
1386142913915015006,Mira,0.35
1149519185815015007,Ia,0.498
1385182436115015017,BLLac,0.338
1543304742915010003,RRLyr,0.188
1427541036315015002,RRLyr,0.231
1411162785715015008,RRLyr,0.588
1429167265115015003,Ia,0.431
1371329156015015004,Star,0.507
1388401484515015047,LPV*,0.26
1292368471515010081,Mira,0.256
1382239200915010039,RRLyr,0.581
1355428225915015019,EB*,0.488
1521418125115015004,AGB*,0.265
1387441583915010041,YSO,0.3
1307471951215010057,EB*,0.282
1295175830115010005,QSO,0.453
1362520974615010003,LPV*,0.52
1417265553615010023,QSO,0.512
1522504995115015007,RRLyr,0.212
1357413274915015000,EB*,0.61
1293317562915010064,Star,0.538
1301443353915015008,EB*,0.63
1359394894415015034,EB*,0.571
1297353025115010012,LPV*,0.227
1428550840015010019,RRLyr,0.288
1410121782015010021,Star,0.492
1295298484815015014,RRLyr,0.396
1362322673915010026,YSO,0.839
1397157195315010013,Star,0.364
1415171006115010001,QSO,0.432
1339367374415010002,EB*,0.244
1300490163915010002,Star,0.402
1527207831915015007,EB*,0.351
1539298663615010003,QSO,0.526
1305453115215010002,RRLyr,0.519
1410290554515015006,C*,0.676
1292348945315015000,RRLyr,0.357
1355337650215010007,EB*,0.253
1305361730015010026,C*,0.213
1284289652515015005,Mira,0.3
1428475321715015001,AGN,0.499
1404158226015015005,LPV*,0.232
1364272731315015019,Star,0.481
1520254220415015003,EB*WUMa,0.132
1044106813015015012,Ia,0.67
1401421406015015005,EB*,0.193
1302410335815015016,LPV*,0.313
1361273044615015004,EB*,0.618
1452541051515015068,SNII,0.403
1292357995715015019,Star,0.306
1524277243615015024,QSO,0.476
1550454822115015005,RRLyr,0.322
1428440623815010012,Nova,0.194
1365220551615010000,SLSN-I,0.69
1396153694715010023,RRLyr,0.143
1285270064715015029,Star,0.456
1401497193215010000,QSO,0.266
1292208462115010004,Star,0.31
1286201374715010002,QSO,0.51
1410141056215010020,EB*,0.509
1383148135515015010,Star,0.325
1301398156315015022,Star,0.35
1414109071215015009,RRLyr,0.172
1344205092515010020,Star,0.535
1396143756015015014,Star,0.495
1410145816215010001,QSO,0.427
1414263322215015061,LPV*,0.222
1290322580215010009,RRLyr,0.296
1286259931915010014,LPV*,0.278
1364237922915010003,SNII,0.684
1344182784215015014,LPV*,0.29
1381158243515015014,Star,0.729
1544284961615010004,EB*,0.227
1301445765015010017,Star,0.62
1386161524715015004,Mira,0.252
1522308511815010002,QSO,0.554
1401142313415015006,RRLyr,0.215
1537477814215015009,OH/IR,0.247
1345328070215010006,QSO,0.401
1397137102315010000,SNIIP,0.499
1375243585115010009,LPV*,0.278
1298452214515010024,QSO,0.423
1397463735415010021,EB*,0.202
1362238202115010001,Mira,0.214
1399147962215010010,EB*,0.255
1432100022915015004,Ia,0.635
1279331313015010008,RRLyr,0.297
1404119470715015004,RRLyr,0.244
1427259154215010004,RRLyr,0.234
1423124543015015001,Star,0.299
1290241756315010014,RRLyr,0.651
1341184394815015006,SNIIn,0.763
1287220462315015034,RRLyr,0.346
1382343946215010014,QSO,0.399
1301493781415015013,RRLyr,0.394
1344297833715015001,RRLyr,0.399
1295460944415010011,QSO,0.477
1414203794315010006,RRLyr,0.647
1345426580515010000,LPV*,0.314
1299308075915015008,RRLyr,0.107
1538151410615015006,EB*,0.503
1549151676015015004,V*,0.33
1403267824515010004,RRLyr,0.285
1296244971915015012,RRLyr,0.213
1403119005415010009,RRLyr,0.346
1297385670615010030,LPV*,0.323
1335346226115015002,SNII,0.433
1292406484815015016,Star,0.398
1414461963115010058,RRLyr,0.624
1526442560015010004,RRLyr,0.533
1305392731815010106,RRLyr,0.523
1524151216015010006,V*,0.589
1391121525015010060,Mira,0.357
1154513863915015008,SLSN-II,0.496
1414281371415010002,C*,0.485
1293266341815010005,EB*,0.571
1401218876015015003,LPV*,0.182
1521170693315010001,RRLyr,0.65
1292467900215015004,RRLyr,0.34
1524167614215010044,Star,0.245
1398165322615015046,Ia,0.27
1399204091815010005,RRLyr,0.319
1299385271015015013,Mira,0.375
1375310063715010005,RRLyr,0.302
1542154160615010003,Star,0.172
1361348311215010005,EB*,0.616
1363245005015010005,deltaCep,0.314
1342319402815010009,RRLyr,0.199
1410143484015010027,RRLyr,0.221
1277318464615015000,EB*,0.708
1151113141715010025,SNII,0.542
1423352261515015135,RRLyr,0.248
1386302985915015002,QSO,0.286
1297448794015010027,Star,0.303
1305394620915015007,LPV*,0.408
1388393314115025010,EB*,0.427
1300475896215015029,EB*,0.424
1342275754115015003,RRLyr,0.321
1428111033415010014,BLLac,0.359
1389512696215015020,EB*,0.116
1299380096015010005,EB*,0.305
1388405051615025042,EB*,0.514
1299422215715015007,EB*,0.274
1297315723815010006,Star,0.247
1522237410115015008,QSO,0.534
1522259833915010001,QSO,0.666
1399093551715010003,LPV*,0.261
1344374960215010014,C*,0.677
1424120680015015005,EB*,0.152
1356491843215010012,Star,0.448
1284348616115015001,RRLyr,0.395
1522242174015015006,QSO,0.384
1355327690615015001,QSO,0.431
1341428043815010001,EB*,0.389
1477384371115015002,SNIc,0.389
1527323991415010036,EB*,0.718
1384201294015010016,RRLyr,0.317
1339209801915010012,Star,0.541
1300430025715010012,EB*,0.156
1366199881915015011,RRLyr,0.564
1392180474015010009,LPV*,0.615
1357420125715015000,RRLyr,0.449
1404107476115015005,RRLyr,0.527
1302259671115015007,RRLyr,0.181
1365256181215015011,Ia,0.382
1363316821915015021,QSO,0.518
1361372244215010009,Mira,0.358
1524182175215010000,RRLyr,0.229
1358349816215015011,EB*,0.645
1363336195615015006,SNIb,0.449
1294255876215010000,RRLyr,0.188
1291240893615015000,Ia,0.65
1419442660915020061,AGN,0.524
1520472951215010000,RRLyr,0.323
1381111352915015033,Mira,0.337
1521392755015015003,QSO,0.689
1410305134015015012,RedSG*,0.56
1373266606215015000,Star,0.536
1405521810515010026,RRLyr,0.455
1283196513215015009,RRLyr,0.222
1386268534215015001,EB*,0.345
1278391680215010006,EB*,0.247
1385470404015015010,YSO,0.472
1537370045515010000,QSO,0.668
1294446341715010000,V*,0.329
1290316720015010029,RRLyr,0.276
1427135170615010017,Mira,0.538
1307282462915010005,Ia,0.61
1525145482915015000,Star,0.4
1365222430615015002,Ia,0.463
1359392023915010048,RRLyr,0.52
1522304762715010001,QSO,0.624
1287279803215010004,EB*WUMa,0.157
1396147601915010004,RRLyr,0.377
1277318466315010003,RRLyr,0.368
1427071205715010009,Star,0.668
1306388801515010021,Star,0.232
1527260370815010000,QSO,0.374
1413131240715015010,RRLyr,0.143
1422348502915010018,EB*,0.416
1283270024815010001,EB*,0.398
1285204123915015016,EB*,0.162
1521172580315015002,EB*,0.631
1345321870615015005,C*,0.46
1052221973415010009,Ia,0.549
1279216883315010003,RRLyr,0.245
1297407113715015007,Star,0.719
1294489424315015004,RRLyr,0.617
1352297470415015010,RRLyr,0.297
1149539520015015000,Ia,0.376
1286228874515015008,QSO,0.477
1479276452115015047,Ia,0.756
1281221621915015000,QSO,0.5
1279320651015010029,RRLyr,0.594
1401087171415010013,Star,0.394
1415497774915010002,RSCVn,0.619
1524508370515015003,QSO,0.397
1299308075115010003,QSO,0.541
1518442845315015002,Ia,0.357
1295410055415015002,Star,0.241
1383089723815015005,Mira,0.643
1158246554315015006,Ia,0.743
1422434521115015004,SNII,0.674
1290322581615010012,RRLyr,0.554
1297362296215010002,RRLyr,0.254
1360484654915015037,EB*,0.321
1520155275115015001,EB*,0.343
1299351551715010005,RRLyr,0.154
1300337815315010028,Erupt*RCrB,0.24
1521259570115015020,C*,0.329
1386277930215010008,RRLyr,0.553
1399101284815015005,V*,0.146
1355382364215015005,RedSG*,0.543
1422533073915010004,SNII,0.517
1413475405715010020,Star,0.337
1425437280715015004,Mira,0.228
1520259943215010005,RRLyr,0.405
1410301821715015010,YSO,0.767
1293443534515010012,CataclyV*,0.33
1214391966215015023,Ia,0.621
1424104090215015002,Mira,0.268
1307365873715010001,QSO,0.551
1359411880015010004,EB*,0.458
1399162513015010007,RRLyr,0.202
1356460653715010001,EB*,0.603
1282287515715015002,RRLyr,0.411
1387422603815010004,EB*,0.515
1280226093315015006,RRLyr,0.41
1214448652515010004,SNIIb,0.654
1291289070615015001,EB*,0.322
1341392602515010009,Star,0.31
1538443030815015008,Star,0.234
1307469144115010018,QSO,0.697
1306452772915015007,QSO,0.439
1344378912815015008,EB*,0.495
1298279940315015008,QSO,0.63
1291253715815010007,RRLyr,0.431
1284234835815015008,QSO,0.537
1279211555315015011,RRLyr,0.217
1395140782415010056,Star,0.639
1362307342815010000,QSO,0.555
1391129475115015004,RRLyr,0.172
1343295154415010007,EB*,0.196
1300432822015010007,AGN,0.621
1550224122215010001,RRLyr,0.265
1524233634915010001,Mira,0.333
1391392854015015009,YSO,0.412
1348422156115010028,EB*,0.355
1287260631615010000,RRLyr,0.555
1372401792315015006,EB*,0.208
1361350182415015002,RRLyr,0.427
1364358666215015005,Ia,0.789
1397117043715010003,Mira,0.708
1396396270615015007,LPV*,0.333
1360218403315010000,QSO,0.382
1400145460015015012,RRLyr,0.302
1365238425415010014,TTau*,0.54
1146153172115015012,Ia,0.671
1398383580415010042,EB*WUMa,0.28
1290465416215015030,Mira,0.337
1389178914715010021,Star,0.417
1536423405715010005,QSO,0.571
1360469735415010007,CataclyV*,0.292
1425373020315010004,EB*,0.361
1423390150315015027,EB*,0.525
1342315185215010012,RRLyr,0.265
1428098075615010007,Star,0.38
1344348244315010011,Em*,0.617
1343349902015010011,EB*,0.421
1336440372415010000,SNII,0.671
1380452813615015002,Star,0.692
1425425232615015007,Star,0.343
1425395254315010023,RRLyr,0.327
1423537065215010003,QSO,0.507
1478483561215015005,Ia,0.725
1296491084015015004,Star,0.704
1341195605815015014,RRLyr,0.139
1542240943115010006,RRLyr,0.256
1411152394215015014,RRLyr,0.261
1521421460915015003,RRLyr,0.262
1302266722815010000,QSO,0.5
1342354453015010002,RRLyr,0.271
1524189802115010027,C*,0.451
1361434340115010046,EB*WUMa,0.459
1305451714015010015,EB*,0.516
1401173414015010005,EB*,0.282
1160346684615010007,SNI,0.805
1382328331615015015,RRLyr,0.371
1299384806215010035,Star,0.353
1360348873915015007,Mira,0.308
1360315005815010004,RRLyr,0.187
1451391484515015016,Ia,0.719
1371225571615015008,RRLyr,0.46
1306465462715010013,QSO,0.461
1390415542315010021,RRLyr,0.287
1360528575915015015,Star,0.474
1537516034815015025,LPV*,0.279
1423113723215010017,RRLyr,0.49
1390330620015010000,QSO,0.692
1514484123615010000,SNII,0.359
1301402881815010034,QSO,0.728
1519172502715015003,SNIIn,0.364
1285213701715010000,QSO,0.489
1403416086015010000,EB*,0.276
1540227442015010006,EB*,0.196
1521149733715015010,Star,0.492
1339368774515015007,EB*,0.562
1413133126015010029,Star,0.652
1524399423215015006,RRLyr,0.281
1542373693215010000,Ia,0.646
1302412714515010007,C*,0.441
1307162884015015003,QSO,0.747
1396190825315010004,RRLyr,0.229
1526257164715010020,RRLyr,0.183
1396152754515015008,Star,0.288
1373379435415010001,RRLyr,0.23
1344343533515010005,EB*,0.717
1299322936015010004,QSO,0.569
1292405982415015019,Star,0.429
1300435634215010007,QSO,0.411
1357366992515015001,QSO,0.799
1363273316315010003,RRLyr,0.27
1384345720715010016,EB*,0.379
1427532332715015003,Ia,0.6
1421307834715015010,LPV*,0.26
1389478546015015017,AGN,0.483
1362284361215010004,LPV*,0.303
1291250001315010000,QSO,0.494
1296376675815010020,RRLyr,0.501
1307332475115015008,Ia,0.627
1541481145015015010,RRLyr,0.224
1542207560615010029,EB*,0.324
1434142855415010013,CV,0.212
1051079891115015264,Ia,0.544
1410128005915010001,RRLyr,0.271
1538168885515010018,deltaCep,0.288
1280365562215010007,LPV*,0.333
1213352482015010024,Ia,0.634
1382189475315015001,RRLyr,0.293
1398455245615010000,EB*,0.312
1384295622615015009,BLLac,0.453
1521486560315015005,Mira,0.357
1299412731815010006,LPV*,0.58
1357368390815010026,QSO,0.458
1400196402415010012,RRLyr,0.209
1404351114015015003,EB*,0.628
1298425822515010007,EB*,0.334
1413252955315010002,RRLyr,0.325
1362528025415015009,Mira,0.352
1428100631115015004,Star,0.485
1278236480515015004,QSO,0.376
1404365742615010004,EB*,0.131
1542250332915015003,RRLyr,0.177
1537196033515010020,C*,0.627
1424160655815010005,RRLyr,0.24
1386178531515015002,RRLyr,0.312
1401228272415010006,EB*,0.103
1426447974015010014,EB*,0.115
1541482551415015002,RRLyr,0.454
1364204011315015008,Ia,0.664
1387362470715010015,DwarfNova,0.324
1398120472415010003,RRLyr,0.24
1361364034915015004,Ia,0.673
1336356775215015001,Ia,0.815
1299359882815010060,Star,0.382
1375244061815010018,RRLyr,0.651
1410307011015010017,EB*,0.519
1345333213215015018,RRLyr,0.244
1387381032815010043,EB*,0.653
1371406043915010008,LPV*,0.289
1385441750815010076,Mira,0.511
1527314590515015006,RRLyr,0.235
1288331213515015000,Star,0.568
1292220373415015012,QSO,0.524
1151302372115015001,Ia,0.435
1359262883915015030,YSO,0.565
1301416935315015010,QSO,0.641
1295305170715010008,QSO,0.563
1404368261115010006,TTau*,0.184
1550413550715015000,RRLyr,0.25
1404124513115010007,DwarfNova,0.32
1422417103915015003,Star,0.17
1292386644115010000,EB*,0.483
1281214671415015001,RRLyr,0.285
1380176150015015026,Mira,0.378
1427134225215010001,SNIIn,0.266
1301357142515010007,RRLyr,0.49
1359426244415010004,EB*,0.567
1293284870215010024,RRLyr,0.305
1296330972415010027,QSO,0.742
1413135506315010051,Star,0.199
1404221000315010023,Star,0.477
1358304606315010005,BLLac,0.643
1380323681415015010,Star,0.415
1355406070915010009,RRLyr,0.411
1536342973115010003,QSO,0.407
1522286665015015006,RRLyr,0.459
1396463375315010005,TTau*,0.185
1341420433915015008,V*,0.273
1522189312815015014,TTau*,0.121
1302286564615015011,Star,0.664
1520254221315010021,Star,0.593
1518409722815015035,Ia,0.493
1160447481015010005,SNIIP,0.529
1362264466115015016,RRLyr,0.458
1399477444815015010,Ia,0.778
1366231450115010027,LPV*,0.314
1409506085615015004,Star,0.315
1538172693215010001,EB*,0.44
1302279270415010000,Ia,0.224
1343354594315010005,EB*,0.254
1341331575615015012,V*,0.498
1363285260315010005,RRLyr,0.475
1361215253715015007,EB*,0.177
1549213571715015000,EB*,0.19
1365373020215010003,EB*,0.426
1547504571415010015,RRLyr,0.593
1537378260015015007,RRLyr,0.302
1412403543615015000,DwarfNova,0.256
