"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"155727","SN 2024ncy","22:52:08.904","+03:44:54.89","SN Ia","0.047","","","ZTF, GOTO, ATLAS","ZTF, GOTO, ATLAS","ZTF","ATLAS; GOTO; ZTF","ZTF24aatyini","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.6876","r-ZTF","2024-06-24 09:18:05.996","Fritz","","2024TNSTR2175....1S","2024TNSCR2247....1F",""
"155524","SN 2024mvi","00:30:12.076","+30:35:47.59","SN Ia","0.054","","","ZTF, ATLAS, GOTO","ZTF, ATLAS, GOTO","ZTF","ATLAS; GOTO; ZTF","ZTF24aaswnkx","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.8177","g-ZTF","2024-06-25 10:54:12.003","Fritz","","2024TNSTR2121....1S","2024TNSCR2144....1F",""
"155511","SN 2024muv","12:49:02.452","-08:39:51.19","SN Ia","0.00465","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF24aatbpbr","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","LT - SPRAT","1","1","","14.4692","i-ZTF","2024-06-26 04:32:59.003","Fritz","","2024TNSTR2121....1S","2024TNSCR2128....1W",""
"154544","SN 2024lol","15:49:38.725","-07:14:28.27","SN Ia","0.02","","","ZTF, ATLAS, GOTO","ZTF, ATLAS, GOTO","ZTF","ATLAS; GOTO; ZTF","ZTF24aasgaac","ATLAS-MLO - ATLAS-01, ATLAS-STH - ATLAS-03, GOTO-N - GOTO-1, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.2246","r-ZTF","2024-06-15 06:35:30.001","Fritz","","2024TNSTR2005....1R","2024TNSCR2048....1F",""
"153448","SN 2024lfm","12:57:40.972","+27:05:34.81","SN Ia","0.079622","","","ZTF, BlackGEM, ATLAS","ZTF, BlackGEM, ATLAS","ZTF","ATLAS; BlackGEM; ZTF","ZTF24aarrrkf","ATLAS-MLO - ATLAS-01, BG4 - BlackGEM-Cam4, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.8145","g-ZTF","2024-06-12 04:41:54.000","Fritz","","2024TNSTR1947....1S","2024TNSCR2108....1F",""
"153321","SN 2024lar","19:26:31.311","+62:45:32.79","SN Ia","0.0539","","","ZTF","ZTF","ZTF","ZTF","ZTF24aarecvo","P48 - ZTF-Cam","LT - SPRAT","1","1","","19.9304","g-ZTF","2024-06-09 09:56:40.997","Fritz","","2024TNSTR1916....1Q","2024TNSCR2128....1W",""
"153317","SN 2024lan","14:19:45.306","-05:42:59.64","SN Ia","0.071","","","ZTF, Fink","ZTF","ZTF","Fink; ZTF","ZTF24aarrxzf","P48 - ZTF-Cam","P60 - SEDM","1","1","","20.4805","g-ZTF","2024-06-10 05:29:25.002","Fritz","","2024TNSTR1910....1S","2024TNSCR2058....1F",""
"153165","SN 2024kwx","19:08:16.840","+78:56:22.92","SN Ia","0.052","","","ZTF, ATLAS, Fink, GOTO, Pan-STARRS","ZTF, ATLAS, GOTO, Pan-STARRS","ZTF","ATLAS; Fink; GOTO; Pan-STARRS; ZTF","ZTF24aaredhj","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT","1","1","","19.7875","g-ZTF","2024-06-09 09:52:33.997","Fritz","","2024TNSTR1874....1S","2024TNSCR2128....1W",""
"153164","SN 2024kww","17:13:38.672","+41:03:25.82","SN II","0.04","","","ZTF, ATLAS, GOTO, Pan-STARRS","ZTF, ATLAS, GOTO, Pan-STARRS","ZTF","ATLAS; GOTO; Pan-STARRS; ZTF","ZTF24aaqugzv","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","20.6151","r-ZTF","2024-06-07 08:42:06.998","Fritz","","2024TNSTR1874....1S","2024TNSCR2059....1S",""
"153114","SN 2024kvo","17:23:24.860","+27:48:44.21","SN Ia","0.048555","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF24aaqzpcv","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.4258","g-ZTF","2024-06-08 08:56:52.995","Fritz","","2024TNSTR1859....1S","2024TNSCR1877....1F",""
